market,commodity,date,price_per_kg,expected_price,flagged
Nairobi,Bread,2009-10-15,85.0,82.5,True
Marsabit,Maize (white),2009-10-15,43.0,43.0,False
Kitui,Beans (dry),2009-11-15,60.0,60.0,False
Nairobi,Bread,2009-11-15,85.0,85.0,False
Kitui,Maize (white),2009-11-15,30.0,30.0,False
Mandera,Maize (white),2009-11-15,39.0,41.0,False
Marsabit,Maize (white),2009-11-15,43.0,43.0,False
Marsabit,Maize (white),2009-12-15,43.0,43.0,False
Nairobi,Bread,2009-12-15,85.0,85.0,False
Lodwar (Turkana),Maize (white),2009-12-15,45.8,51.0,False
Kitui,Maize (white),2009-12-15,30.0,30.0,False
Mandera,Maize (white),2009-12-15,36.0,39.0,False
Kitui,Beans (dry),2009-12-15,60.0,60.0,False
Kitui,Beans (dry),2010-01-15,60.0,60.0,False
Marsabit,Maize (white),2010-01-15,42.5,43.0,False
Nairobi,Bread,2010-01-15,85.0,85.0,False
Lodwar (Turkana),Maize (white),2010-01-15,49.6,45.8,False
Kitui,Maize (white),2010-01-15,30.0,30.0,False
Marsabit,Maize (white),2010-02-15,42.5,42.5,False
Lodwar (Turkana),Maize (white),2010-02-15,45.7,49.6,False
Nairobi,Bread,2010-02-15,85.0,85.0,False
Kitui,Beans (dry),2010-02-15,50.0,60.0,False
Kitui,Maize (white),2010-02-15,20.0,30.0,True
Kitui,Beans (dry),2010-03-15,50.0,50.0,False
Nairobi,Bread,2010-03-15,85.0,85.0,False
Marsabit,Maize (white),2010-03-15,38.0,42.5,False
Lodwar (Turkana),Maize (white),2010-03-15,44.5,45.7,False
Kitui,Maize (white),2010-03-15,16.0,20.0,False
Marsabit,Maize (white),2010-04-15,33.0,38.0,True
Kitui,Maize (white),2010-04-15,13.0,16.0,False
Lodwar (Turkana),Maize (white),2010-04-15,44.93,44.5,False
Nairobi,Bread,2010-04-15,87.5,85.0,True
Kitui,Beans (dry),2010-04-15,45.0,50.0,False
Kitui,Beans (dry),2010-05-15,45.0,45.0,False
Nairobi,Bread,2010-05-15,77.5,87.5,True
Marsabit,Maize (white),2010-05-15,32.5,33.0,False
Kitui,Maize (white),2010-05-15,13.0,13.0,False
Mandera,Maize (white),2010-05-15,36.0,36.0,False
Lodwar (Turkana),Maize (white),2010-05-15,46.0,44.93,False
Marsabit,Maize (white),2010-06-15,33.0,32.5,False
Kitui,Beans (dry),2010-06-15,40.0,45.0,False
Nairobi,Bread,2010-06-15,82.5,77.5,True
Kitui,Maize (white),2010-06-15,6.0,13.0,True
Kitui,Beans (dry),2010-07-15,45.0,40.0,False
Marsabit,Maize (white),2010-07-15,32.5,33.0,False
Mandera,Maize (white),2010-07-15,41.0,36.0,False
Kitui,Maize (white),2010-07-15,15.0,6.0,True
Nairobi,Bread,2010-07-15,85.0,82.5,False
Nairobi,Bread,2010-08-15,95.0,85.0,True
Mandera,Maize (white),2010-08-15,44.0,41.0,False
Marsabit,Maize (white),2010-08-15,32.0,32.5,False
Kitui,Beans (dry),2010-08-15,50.0,45.0,False
Kitui,Maize (white),2010-08-15,13.0,15.0,False
Lodwar (Turkana),Maize (white),2010-08-15,44.0,46.0,False
Nairobi,Bread,2010-09-15,95.0,95.0,False
Kitui,Maize (white),2010-09-15,13.0,13.0,False
Mandera,Maize (white),2010-09-15,45.0,44.0,False
Marsabit,Maize (white),2010-09-15,32.0,32.0,False
Kitui,Beans (dry),2010-09-15,50.0,50.0,False
Marsabit,Maize (white),2010-10-15,30.0,32.0,False
Lodwar (Turkana),Maize (white),2010-10-15,44.0,44.0,False
Kitui,Maize (white),2010-10-15,14.0,13.0,False
Nairobi,Bread,2010-10-15,95.0,95.0,False
Kitui,Beans (dry),2010-10-15,60.0,50.0,False
Mandera,Maize (white),2010-10-15,45.0,45.0,False
Nairobi,Bread,2010-11-15,95.0,95.0,False
Kitui,Maize (white),2010-11-15,18.0,14.0,False
Mandera,Maize (white),2010-11-15,47.0,45.0,False
Kitui,Beans (dry),2010-11-15,60.0,60.0,False
Lodwar (Turkana),Maize (white),2010-11-15,44.7,44.0,False
Marsabit,Maize (white),2010-11-15,32.0,30.0,False
Marsabit,Maize (white),2010-12-15,32.0,32.0,False
Kitui,Beans (dry),2010-12-15,60.0,60.0,False
Kitui,Maize (white),2010-12-15,16.0,18.0,False
Lodwar (Turkana),Maize (white),2010-12-15,42.29,44.7,False
Mandera,Maize (white),2010-12-15,49.0,47.0,False
Nairobi,Bread,2010-12-15,97.5,95.0,False
Kitui,Beans (dry),2011-01-15,60.0,60.0,False
Marsabit,Maize (white),2011-01-15,38.0,32.0,True
Kitui,Maize (white),2011-01-15,17.0,16.0,False
Lodwar (Turkana),Maize (white),2011-01-15,44.0,42.29,False
Nairobi,Bread,2011-01-15,95.0,97.5,False
Marsabit,Maize (white),2011-02-15,36.0,38.0,False
Lodwar (Turkana),Maize (white),2011-02-15,42.6,44.0,False
Nairobi,Bread,2011-02-15,95.0,95.0,False
Mandera,Maize (white),2011-02-15,51.0,49.0,False
Kitui,Maize (white),2011-02-15,17.0,17.0,False
Kitui,Beans (dry),2011-02-15,70.0,60.0,False
Marsabit,Maize (white),2011-03-15,36.0,36.0,False
Nairobi,Bread,2011-03-15,100.0,95.0,True
Lodwar (Turkana),Maize (white),2011-03-15,46.0,42.6,False
Kitui,Beans (dry),2011-03-15,70.0,70.0,False
Kitui,Maize (white),2011-03-15,22.0,17.0,False
Lodwar (Turkana),Maize (white),2011-04-15,54.9,46.0,True
Nairobi,Bread,2011-04-15,100.0,100.0,False
Marsabit,Maize (white),2011-04-15,44.0,36.0,True
Mandera,Maize (white),2011-04-15,54.0,51.0,False
Kitui,Maize (white),2011-04-15,30.0,22.0,True
Kitui,Beans (dry),2011-04-15,80.0,70.0,False
Kitui,Maize (white),2011-05-15,45.0,30.0,True
Lodwar (Turkana),Maize (white),2011-05-15,60.0,54.9,False
Kitui,Beans (dry),2011-05-15,85.0,80.0,False
Nairobi,Bread,2011-05-15,100.0,100.0,False
Marsabit,Maize (white),2011-05-15,44.6,44.0,False
Mandera,Maize (white),2011-05-15,57.0,54.0,False
Nairobi,Bread,2011-06-15,100.0,100.0,False
Marsabit,Maize (white),2011-06-15,45.6,44.6,False
Lodwar (Turkana),Maize (white),2011-06-15,64.0,60.0,False
Kitui,Maize (white),2011-06-15,46.0,45.0,False
Mandera,Maize (white),2011-06-15,59.0,57.0,False
Kitui,Beans (dry),2011-06-15,85.0,85.0,False
Kitui,Maize (white),2011-07-15,45.0,46.0,False
Mandera,Maize (white),2011-07-15,63.0,59.0,False
Kitui,Beans (dry),2011-07-15,85.0,85.0,False
Nairobi,Bread,2011-07-15,102.5,100.0,False
Marsabit,Maize (white),2011-07-15,53.0,45.6,True
Lodwar (Turkana),Maize (white),2011-08-15,72.73,64.0,True
Nairobi,Bread,2011-08-15,100.0,102.5,False
Mandera,Maize (white),2011-08-15,63.0,63.0,False
Kitui,Maize (white),2011-08-15,39.0,45.0,False
Marsabit,Maize (white),2011-08-15,59.16,53.0,True
Kitui,Beans (dry),2011-08-15,86.0,85.0,False
Kitui,Beans (dry),2011-09-15,75.0,86.0,False
Mandera,Maize (white),2011-09-15,65.0,63.0,False
Marsabit,Maize (white),2011-09-15,62.22,59.16,False
Kitui,Maize (white),2011-09-15,41.0,39.0,False
Nairobi,Bread,2011-09-15,100.0,100.0,False
Mandera,Maize (white),2011-10-15,67.0,65.0,False
Kitui,Maize (white),2011-10-15,40.62,41.0,False
Nairobi,Bread,2011-10-15,100.0,100.0,False
Lodwar (Turkana),Maize (white),2011-10-15,64.3,72.73,True
Kitui,Beans (dry),2011-10-15,77.47,75.0,False
Kitui,Beans (dry),2011-11-15,76.53,77.47,False
Kitui,Maize (white),2011-11-15,41.63,40.62,False
Mandera,Maize (white),2011-11-15,65.0,67.0,False
Nairobi,Bread,2011-11-15,102.5,100.0,False
Mandera,Maize (white),2011-12-15,60.0,65.0,False
Kitui,Maize (white),2011-12-15,42.55,41.63,False
Kitui,Beans (dry),2011-12-15,96.27,76.53,True
Nairobi,Bread,2011-12-15,100.0,102.5,False
Marsabit,Maize (white),2012-01-15,50.9,62.22,True
Kitui,Beans (dry),2012-01-15,72.0,96.27,True
Kitui,Maize (white),2012-01-15,42.0,42.55,False
Nairobi,Bread,2012-01-15,107.5,100.0,True
Lodwar (Turkana),Maize (white),2012-01-15,61.35,64.3,False
Mandera,Maize (white),2012-01-15,76.0,60.0,True
Kitui,Maize (white),2012-02-15,38.0,42.0,False
Lodwar (Turkana),Maize (white),2012-02-15,56.0,61.35,False
Marsabit,Maize (white),2012-02-15,44.1,50.9,True
Nairobi,Bread,2012-02-15,107.5,107.5,False
Kitui,Beans (dry),2012-02-15,72.0,72.0,False
Mandera,Maize (white),2012-03-15,78.0,76.0,False
Kitui,Maize (white),2012-03-15,37.0,38.0,False
Lodwar (Turkana),Maize (white),2012-03-15,54.98,56.0,False
Marsabit,Maize (white),2012-03-15,49.12,44.1,False
Kitui,Beans (dry),2012-03-15,74.31,72.0,False
Nairobi,Bread,2012-03-15,112.5,107.5,True
Nairobi,Bread,2012-04-15,120.0,112.5,True
Kitui,Maize (white),2012-04-15,37.0,37.0,False
Marsabit,Maize (white),2012-04-15,50.54,49.12,False
Lodwar (Turkana),Maize (white),2012-04-15,60.13,54.98,False
Mandera,Maize (white),2012-04-15,78.24,78.0,False
Kitui,Beans (dry),2012-04-15,78.35,74.31,False
Lodwar (Turkana),Maize (white),2012-05-15,58.75,60.13,False
Marsabit,Maize (white),2012-05-15,44.5,50.54,False
Kitui,Beans (dry),2012-05-15,77.86,78.35,False
Kitui,Maize (white),2012-05-15,41.0,37.0,False
Nairobi,Bread,2012-05-15,120.0,120.0,False
Mandera,Maize (white),2012-06-15,79.0,78.24,False
Lodwar (Turkana),Maize (white),2012-06-15,58.65,58.75,False
Nairobi,Bread,2012-06-15,112.5,120.0,True
Kitui,Beans (dry),2012-06-15,83.0,77.86,False
Marsabit,Maize (white),2012-06-15,52.94,44.5,True
Kitui,Maize (white),2012-06-15,41.0,41.0,False
Nairobi,Bread,2012-07-15,107.5,112.5,False
Mandera,Maize (white),2012-07-15,80.0,79.0,False
Marsabit,Maize (white),2012-07-15,50.12,52.94,False
Kitui,Maize (white),2012-07-15,41.0,41.0,False
Kitui,Beans (dry),2012-07-15,82.0,83.0,False
Nairobi,Bread,2012-08-15,107.5,107.5,False
Marsabit,Maize (white),2012-08-15,51.6,50.12,False
Mandera,Maize (white),2012-08-15,80.0,80.0,False
Kitui,Maize (white),2012-08-15,42.0,41.0,False
Kitui,Beans (dry),2012-08-15,81.0,82.0,False
Nairobi,Bread,2012-09-15,100.0,107.5,True
Lodwar (Turkana),Maize (white),2012-09-15,66.0,58.65,False
Kitui,Beans (dry),2012-09-15,84.0,81.0,False
Marsabit,Maize (white),2012-09-15,51.2,51.6,False
Kitui,Maize (white),2012-09-15,40.0,42.0,False
Mandera,Maize (white),2012-09-15,80.0,80.0,False
Kitui,Maize (white),2012-10-15,40.0,40.0,False
Mandera,Maize (white),2012-10-15,79.0,80.0,False
Nairobi,Bread,2012-10-15,100.0,100.0,False
Marsabit,Maize (white),2012-10-15,51.7,51.2,False
Kitui,Beans (dry),2012-10-15,80.0,84.0,False
Kitui,Beans (dry),2012-11-15,81.0,80.0,False
Nairobi,Bread,2012-11-15,95.0,100.0,False
Mandera,Maize (white),2012-11-15,79.0,79.0,False
Kitui,Maize (white),2012-11-15,39.0,40.0,False
Marsabit,Maize (white),2012-11-15,51.8,51.7,False
Kitui,Maize (white),2012-12-15,37.0,39.0,False
Nairobi,Bread,2012-12-15,90.0,95.0,False
Kitui,Beans (dry),2012-12-15,77.0,81.0,False
Lodwar (Turkana),Maize (white),2012-12-15,81.83,66.0,True
Mandera,Maize (white),2012-12-15,80.0,79.0,False
Marsabit,Maize (white),2012-12-15,50.4,51.8,False
Mandera,Maize (white),2013-01-15,78.0,80.0,False
Nairobi,Bread,2013-01-15,107.5,90.0,True
Kitui,Beans (dry),2013-01-15,60.0,77.0,True
Kitui,Maize (white),2013-01-15,37.0,37.0,False
Marsabit,Maize (white),2013-01-15,53.4,50.4,False
Lodwar (Turkana),Maize (white),2013-01-15,75.8,81.83,False
Kitui,Maize (white),2013-02-15,33.0,37.0,False
Kitui,Beans (dry),2013-02-15,65.6,60.0,False
Nairobi,Bread,2013-02-15,115.0,107.5,True
Lodwar (Turkana),Maize (white),2013-02-15,78.78,75.8,False
Marsabit,Maize (white),2013-02-15,47.5,53.4,False
Lodwar (Turkana),Maize (white),2013-03-15,82.7,78.78,False
Nairobi,Bread,2013-03-15,115.0,115.0,False
Kitui,Maize (white),2013-03-15,30.0,33.0,False
Mandera,Maize (white),2013-03-15,79.0,78.0,False
Kitui,Beans (dry),2013-03-15,67.0,65.6,False
Nairobi,Bread,2013-04-15,110.0,115.0,False
Marsabit,Maize (white),2013-04-15,47.6,47.5,False
Kitui,Maize (white),2013-04-15,34.0,30.0,False
Mandera,Maize (white),2013-04-15,80.0,79.0,False
Lodwar (Turkana),Maize (white),2013-04-15,87.8,82.7,False
Kitui,Beans (dry),2013-04-15,73.0,67.0,False
Mandera,Maize (white),2013-05-15,80.0,80.0,False
Kitui,Maize (white),2013-05-15,31.0,34.0,False
Nairobi,Bread,2013-05-15,112.5,110.0,False
Kitui,Beans (dry),2013-05-15,76.0,73.0,False
Marsabit,Maize (white),2013-05-15,50.3,47.6,False
Kitui,Beans (dry),2013-06-15,75.0,76.0,False
Marsabit,Maize (white),2013-06-15,45.0,50.3,False
Nairobi,Bread,2013-06-15,110.0,112.5,False
